"batch_id","product_id","title","url","viewport","viewport_width","viewport_height","response_status","document_scroll_width","document_scroll_height","horizontal_overflow","h1_count","heading_hierarchy_valid","image_count","broken_image_count","quote_form_present","cta_count","internal_link_count","banned_phrases","screenshot_truncated","screenshot_path","screenshot_bytes","viewport_screenshot_path","viewport_screenshot_bytes","qa_status","qa_failures","error"
"BATCH-01","386","Custom Printed Corrugated Ecommerce Box","http://localhost/hopgiayvpn/product/custom-printed-corrugated-ecommerce-box/","desktop-1440","1440","1000","200","1440","10770","false","1","true","12","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/386-custom-printed-corrugated-ecommerce-box-desktop-1440.png","1474059","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/386-custom-printed-corrugated-ecommerce-box-desktop-1440-viewport.png","314131","PASS","",""
"BATCH-01","386","Custom Printed Corrugated Ecommerce Box","http://localhost/hopgiayvpn/product/custom-printed-corrugated-ecommerce-box/","mobile-390","390","844","200","390","16947","false","1","true","12","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/386-custom-printed-corrugated-ecommerce-box-mobile-390.png","1195839","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/386-custom-printed-corrugated-ecommerce-box-mobile-390-viewport.png","100753","PASS","",""
"BATCH-01","6024","CUSTOM CORRUGATED SUBSCRIPTION BOX","http://localhost/hopgiayvpn/product/custom-corrugated-subscription-box/","desktop-1440","1440","1000","200","1440","11026","false","1","true","14","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/6024-custom-corrugated-subscription-box-desktop-1440.png","1661633","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/6024-custom-corrugated-subscription-box-desktop-1440-viewport.png","290246","PASS","",""
"BATCH-01","6024","CUSTOM CORRUGATED SUBSCRIPTION BOX","http://localhost/hopgiayvpn/product/custom-corrugated-subscription-box/","mobile-390","390","844","200","390","17265","false","1","true","14","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/6024-custom-corrugated-subscription-box-mobile-390.png","1225206","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-01/6024-custom-corrugated-subscription-box-mobile-390-viewport.png","95961","PASS","",""
"BATCH-02","773","CUSTOM COSMETIC PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-cosmetic-packaging-box/","desktop-1440","1440","1000","200","1440","10773","false","1","true","20","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/773-custom-cosmetic-packaging-box-desktop-1440.png","1577213","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/773-custom-cosmetic-packaging-box-desktop-1440-viewport.png","269421","PASS","",""
"BATCH-02","773","CUSTOM COSMETIC PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-cosmetic-packaging-box/","mobile-390","390","844","200","390","16154","false","1","true","20","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/773-custom-cosmetic-packaging-box-mobile-390.png","1121857","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/773-custom-cosmetic-packaging-box-mobile-390-viewport.png","97081","PASS","",""
"BATCH-02","5557","CUSTOM PERFUME AND LOTION GIFT SET BOX","http://localhost/hopgiayvpn/product/custom-perfume-and-lotion-gift-set-box/","desktop-1440","1440","1000","200","1440","10698","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/5557-custom-perfume-and-lotion-gift-set-box-desktop-1440.png","1643051","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/5557-custom-perfume-and-lotion-gift-set-box-desktop-1440-viewport.png","346510","PASS","",""
"BATCH-02","5557","CUSTOM PERFUME AND LOTION GIFT SET BOX","http://localhost/hopgiayvpn/product/custom-perfume-and-lotion-gift-set-box/","mobile-390","390","844","200","390","16405","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/5557-custom-perfume-and-lotion-gift-set-box-mobile-390.png","1167716","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-02/5557-custom-perfume-and-lotion-gift-set-box-mobile-390-viewport.png","97145","PASS","",""
"BATCH-03","240","Custom Cosmetic Tube Packaging Box with Insert","http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/","desktop-1440","1440","1000","200","1440","10833","false","1","true","20","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/240-custom-cosmetic-tube-packaging-box-with-insert-desktop-1440.png","1609972","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/240-custom-cosmetic-tube-packaging-box-with-insert-desktop-1440-viewport.png","260877","PASS","",""
"BATCH-03","240","Custom Cosmetic Tube Packaging Box with Insert","http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/","mobile-390","390","844","200","390","16685","false","1","true","20","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/240-custom-cosmetic-tube-packaging-box-with-insert-mobile-390.png","1173288","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/240-custom-cosmetic-tube-packaging-box-with-insert-mobile-390-viewport.png","89999","PASS","",""
